GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,Facies
55.0,0.904,2.5,4.95,4.1,2,0.746,6
55.97,0.923,2.5,4.85,4.1,2,0.731,6
58.81,0.913,3.1,6.05,4.1,2,0.716,6
67.1,0.885,5.4,8.3,4.0,2,0.701,6
77.82,0.866,8.2,10.7,4.0,2,0.687,6
115.71,0.829,8.2,11.5,3.9,2,0.672,4
145.34,0.81,8.1,11.55,3.7,2,0.657,4
195.89,0.801,8.0,11.5,3.7,2,0.642,4
191.22,0.81,8.3,11.25,3.6,2,0.627,4
177.59,0.82,7.0,9.7,3.6,2,0.612,4
151.13,0.866,5.6,7.7,3.6,2,0.597,4
116.51,0.932,3.0,5.2,3.8,2,0.582,8
58.47,0.96,2.0,3.4,4.4,2,0.567,8
56.71,0.951,2.1,3.25,5.0,2,0.552,8
64.91,0.923,5.4,5.5,5.0,2,0.537,8
74.3,0.885,10.1,8.65,4.8,2,0.522,8
85.32,0.829,9.8,11.4,4.6,2,0.507,4
97.02,0.754,11.9,13.75,4.3,2,0.493,4
94.31,0.717,10.7,14.45,4.1,2,0.478,4
88.35,0.689,10.2,14.7,3.9,2,0.463,4
87.22,0.66,9.9,14.85,3.8,2,0.448,4
85.82,0.628,9.6,14.8,3.8,2,0.433,4
85.68,0.614,9.6,14.8,3.7,2,0.418,4
86.5,0.623,9.4,14.9,3.7,2,0.403,4
88.5,0.623,9.1,15.05,3.6,2,0.388,4
88.84,0.623,8.7,14.95,3.6,2,0.373,4
83.21,0.633,8.6,14.8,3.4,2,0.358,4
71.5,0.633,8.7,14.65,3.3,2,0.343,4
67.33,0.661,9.2,14.3,3.4,2,0.328,4
61.32,0.689,9.5,13.95,3.5,2,0.313,4
55.48,0.764,8.5,13.05,3.6,2,0.299,4
51.6,0.857,3.8,10.1,3.7,2,0.284,6
47.71,0.838,3.2,9.0,3.8,2,0.269,6
48.07,0.801,3.2,8.9,3.8,2,0.254,6
49.41,0.754,3.4,9.3,3.8,2,0.239,4
66.1,0.689,3.7,10.35,3.8,2,0.224,4
76.15,0.633,4.7,11.75,3.6,2,0.209,4
92.92,0.595,7.6,14.1,3.3,2,0.194,4
100.69,0.577,7.8,16.3,3.2,2,0.179,4
101.16,0.605,7.4,18.6,2.5,2,0.164,4
97.59,0.654,4.5,20.95,2.8,2,0.149,4
87.35,0.711,4.7,20.85,3.1,2,0.134,4
72.1,0.761,6.8,13.5,3.3,2,0.119,6
64.79,0.806,7.5,9.75,3.8,2,0.104,6
62.31,0.848,6.4,8.3,3.9,2,0.09,6
56.83,0.894,5.0,7.2,3.8,2,0.075,6
52.34,0.904,1.7,5.45,3.8,2,0.06,8
48.52,0.904,-4.3,8.35,4.0,2,0.045,8
54.95,0.885,-12.3,12.45,4.0,2,0.03,8
61.02,0.838,-14.4,17.3,3.8,2,0.015,8
66.93,0.745,-13.4,21.8,3.6,1,1.0,3
70.41,0.708,-6.3,21.75,3.2,1,0.974,3
73.06,0.661,-1.0,20.0,3.1,1,0.949,3
75.05,0.623,0.3,20.35,3.0,1,0.923,3
76.58,0.614,1.1,21.15,2.9,1,0.897,3
79.26,0.614,1.0,24.1,2.8,1,0.872,3
80.34,0.614,6.3,23.55,2.7,1,0.846,3
80.13,0.614,6.8,23.7,2.6,1,0.821,3
76.51,0.623,6.6,23.6,2.6,1,0.795,3
74.52,0.642,3.3,24.25,2.6,1,0.769,3
73.2,0.67,0.1,23.65,2.6,1,0.744,2
69.51,0.698,4.0,17.9,2.7,1,0.718,2
64.97,0.736,4.6,16.0,2.8,1,0.692,2
65.21,0.736,6.3,14.85,3.0,1,0.667,2
65.7,0.736,7.4,13.6,3.1,1,0.641,2
65.24,0.717,9.0,11.6,3.3,1,0.615,2
63.2,0.717,9.2,10.7,3.6,1,0.59,2
61.71,0.676,6.7,11.15,3.7,1,0.564,2
60.3,0.624,4.3,11.05,3.6,1,0.538,2
58.7,0.565,2.5,11.65,3.5,1,0.513,2
56.18,0.511,0.8,11.7,3.3,1,0.487,2
55.11,0.483,0.4,11.6,3.0,1,0.462,2
54.51,0.436,0.5,11.55,3.0,1,0.436,2
55.3,0.411,0.8,11.5,2.9,1,0.41,2
55.56,0.39,1.2,11.6,2.9,1,0.385,2
54.92,0.362,1.1,11.75,2.8,1,0.359,2
54.92,0.352,1.0,11.9,2.8,1,0.333,2
55.63,0.362,0.9,11.85,2.9,1,0.308,2
57.6,0.371,1.0,11.7,2.9,1,0.282,2
60.83,0.371,1.7,11.45,3.0,1,0.256,2
62.86,0.38,2.4,11.6,3.1,1,0.231,2
67.48,0.407,8.6,14.6,3.1,1,0.205,3
74.05,0.436,8.4,14.8,3.2,1,0.179,3
77.79,0.464,8.2,14.6,3.2,1,0.154,3
76.99,0.49,6.9,13.55,3.3,1,0.128,3
75.9,0.502,6.7,15.15,3.4,1,0.103,3
74.27,0.521,3.7,18.55,3.5,1,0.077,3
73.43,0.537,-1.0,21.9,3.6,1,0.051,3
64.68,0.633,-0.5,20.45,3.3,1,0.026,3
50.6,0.717,-0.2,16.1,3.4,2,1.0,8
39.67,0.792,-1.6,6.4,3.6,2,0.957,8
31.96,0.81,0.5,4.55,3.9,2,0.913,8
42.29,0.866,0.6,4.6,4.5,2,0.87,6
48.33,0.904,1.8,5.6,4.2,2,0.826,6
48.4,0.932,0.9,6.15,3.6,2,0.783,6
48.41,0.979,0.5,6.25,3.4,2,0.739,6
46.41,1.007,-0.2,5.9,3.5,2,0.696,6
44.36,1.025,-0.7,5.45,3.6,2,0.652,8
39.15,1.053,-0.2,4.4,3.8,2,0.609,8
36.7,1.072,0.7,3.25,4.1,2,0.565,6
36.01,1.1,0.5,3.05,4.7,2,0.522,6
37.9,1.119,0.8,3.3,4.9,2,0.478,6
40.44,1.119,1.4,3.6,4.7,2,0.435,6
43.51,1.128,1.7,3.75,4.5,2,0.391,6
44.73,1.119,1.8,3.9,4.3,2,0.348,6
52.29,1.119,1.9,4.25,4.2,2,0.304,6
57.68,1.095,2.9,5.35,4.3,2,0.261,6
55.66,1.063,2.6,5.3,4.5,2,0.217,8
51.65,1.044,1.7,4.35,4.6,2,0.174,8
48.58,0.894,1.2,3.4,4.6,2,0.13,8
52.53,0.82,0.8,3.5,4.5,2,0.087,8
63.83,0.727,2.4,4.9,4.1,2,0.043,8
73.93,0.661,2.5,9.95,3.6,1,1.0,3
82.15,0.623,5.9,12.95,3.2,1,0.957,3
79.86,0.586,7.5,14.05,3.1,1,0.913,2
75.71,0.567,6.6,13.5,3.1,1,0.87,2
70.41,0.567,7.0,11.0,3.2,1,0.826,2
59.72,0.595,6.8,9.4,3.4,1,0.783,2
61.47,0.623,5.8,8.4,3.6,1,0.739,2
65.24,0.623,6.6,8.9,3.9,1,0.696,2
66.26,0.633,6.4,9.1,4.1,1,0.652,2
68.21,0.623,4.8,9.8,4.2,1,0.609,2
69.24,0.567,3.1,10.65,4.0,1,0.565,2
71.23,0.53,2.0,12.8,3.8,1,0.522,2
76.47,0.502,-9.2,23.9,3.7,1,0.478,2
83.52,0.493,-5.5,27.15,3.2,1,0.435,3
82.88,0.502,-4.8,27.5,2.6,1,0.348,3
76.99,0.53,-2.5,25.55,2.6,1,0.304,3
68.71,0.549,-1.9,15.95,2.7,1,0.261,2
66.49,0.595,2.3,9.95,3.0,1,0.217,2
66.67,0.614,1.8,10.3,3.4,1,0.174,2
68.68,0.661,4.7,17.45,3.4,1,0.13,2
67.26,0.689,-3.6,21.4,3.3,1,0.087,2
38.21,0.745,0.5,17.25,3.2,2,1.0,8
23.03,0.764,2.0,13.2,3.4,2,0.947,8
16.09,0.764,0.0,9.6,4.0,2,0.895,8
15.38,0.773,0.2,9.4,4.7,2,0.842,8
15.34,0.792,0.1,9.75,5.3,2,0.789,8
15.83,0.792,-1.5,11.15,5.8,2,0.737,8
16.39,0.801,-2.0,11.4,5.8,2,0.684,8
17.2,0.838,-2.5,11.15,5.6,2,0.632,8
20.17,0.857,-3.0,10.4,5.2,2,0.579,8
24.31,0.876,-3.0,8.6,5.1,2,0.526,8
24.49,0.885,-0.4,6.6,5.0,2,0.474,8
24.54,0.904,0.7,5.95,5.0,2,0.421,8
23.16,0.904,1.2,6.5,5.0,2,0.368,8
22.98,0.913,1.1,6.75,5.0,2,0.316,8
23.48,0.904,0.8,7.8,5.1,2,0.263,8
25.9,0.866,1.8,8.1,5.1,2,0.211,8
25.9,0.866,1.8,8.1,5.1,2,0.211,6
32.16,0.824,2.9,8.15,5.1,2,0.158,6
34.86,0.773,3.5,8.55,5.1,2,0.105,6
38.53,0.726,2.8,8.9,5.1,2,0.053,6
40.07,0.595,0.3,8.95,4.9,1,1.0,3
45.45,0.493,-5.8,11.9,4.4,1,0.971,3
54.42,0.446,-16.0,17.8,3.7,1,0.943,3
82.13,0.427,-12.2,23.4,3.3,1,0.914,3
95.72,0.399,-5.6,27.1,2.9,1,0.886,3
100.54,0.371,-0.6,29.6,2.6,1,0.857,3
101.09,0.343,-0.2,29.8,2.5,1,0.829,3
97.01,0.306,-0.5,29.55,2.4,1,0.8,3
89.65,0.268,-3.4,28.0,2.4,1,0.771,3
87.36,0.25,-1.3,23.45,2.4,1,0.743,3
84.42,0.231,3.0,20.9,2.5,1,0.714,3
83.16,0.222,7.3,18.85,2.7,1,0.686,3
82.81,0.212,7.6,19.5,2.7,1,0.657,3
85.11,0.194,4.3,21.85,2.8,1,0.629,3
86.75,0.194,4.1,21.85,2.7,1,0.6,3
87.27,0.194,3.0,21.2,2.6,1,0.571,3
85.02,0.203,5.4,19.6,2.6,1,0.543,3
79.75,0.226,5.8,19.7,2.6,1,0.514,3
78.3,0.24,5.5,19.85,2.6,1,0.486,3
81.07,0.269,7.6,18.4,2.6,1,0.457,3
79.27,0.302,6.4,16.2,2.8,1,0.429,2
73.93,0.334,5.9,14.05,3.0,1,0.4,2
65.23,0.371,4.1,11.95,3.3,1,0.371,2
61.78,0.446,3.2,11.2,3.5,1,0.343,2
62.11,0.493,2.8,11.5,3.5,1,0.314,2
62.58,0.521,2.7,11.95,3.4,1,0.286,2
64.56,0.53,2.5,12.15,3.3,1,0.257,2
67.07,0.53,2.5,11.85,3.4,1,0.229,2
68.49,0.521,2.8,11.7,3.3,1,0.2,2
74.44,0.521,3.1,11.55,3.2,1,0.171,2
78.97,0.521,4.4,11.5,3.3,1,0.143,3
80.06,0.558,5.7,11.65,3.4,1,0.114,3
67.48,0.741,2.5,13.85,3.9,2,1.0,8
52.5,0.773,1.4,12.9,4.0,2,0.889,8
31.71,0.801,0.6,9.2,4.3,2,0.778,8
25.1,0.81,-0.7,8.35,4.6,2,0.667,8
23.57,0.829,-1.5,7.55,4.7,2,0.556,8
25.17,0.829,-1.5,7.15,4.7,2,0.444,8
31.3,0.801,-0.8,6.7,4.7,2,0.333,8
37.3,0.773,0.1,6.75,4.4,2,0.222,8
43.05,0.736,0.9,7.15,3.8,2,0.111,8
49.95,0.698,1.6,7.9,3.6,1,1.0,2
56.08,0.642,1.6,8.2,3.5,1,0.957,2
58.25,0.62,1.8,8.8,3.4,1,0.913,2
61.71,0.596,3.0,9.1,3.4,1,0.87,2
66.63,0.567,4.1,9.45,3.3,1,0.826,2
71.55,0.558,5.1,9.85,3.3,1,0.783,3
78.54,0.567,6.9,11.35,3.3,1,0.739,3
82.48,0.549,9.5,13.95,3.2,1,0.696,3
77.48,0.549,8.7,13.65,3.2,1,0.652,3
74.35,0.539,7.7,12.75,3.1,1,0.609,2
67.76,0.53,6.7,11.95,3.2,1,0.565,2
62.93,0.53,5.7,11.65,3.3,1,0.522,2
58.85,0.53,2.8,10.7,3.3,1,0.478,2
57.92,0.521,2.2,11.0,3.3,1,0.435,2
61.42,0.53,2.2,11.2,3.2,1,0.391,2
61.98,0.53,2.5,11.45,3.2,1,0.348,2
62.63,0.539,2.8,11.5,3.1,1,0.304,2
62.94,0.539,3.6,11.2,3.1,1,0.261,2
65.85,0.53,4.4,10.9,3.3,1,0.217,2
68.59,0.53,4.4,10.9,3.4,1,0.174,2
74.99,0.53,2.7,12.25,3.5,1,0.13,3
79.04,0.539,3.0,14.5,3.6,1,0.087,3
79.86,0.558,3.2,17.8,3.4,1,0.043,3
79.11,0.61,7.0,17.7,3.2,1,0.01,3
79.11,0.61,7.0,17.7,3.2,2,1.0,6
73.93,0.689,7.0,14.1,3.2,2,0.857,8
56.13,0.698,5.6,9.2,3.5,2,0.714,8
30.61,0.698,4.2,6.4,4.1,2,0.571,8
18.45,0.68,3.2,5.3,4.7,2,0.429,8
19.36,0.562,3.7,5.55,5.0,2,0.143,8
26.23,0.465,1.3,7.95,4.8,1,1.0,3
31.45,0.427,-1.1,13.65,4.5,1,0.917,3
39.85,0.371,-0.9,19.55,3.8,1,0.833,3
55.71,0.362,-0.7,28.15,2.9,1,0.75,3
65.46,0.343,-1.4,26.8,2.6,1,0.667,3
68.77,0.343,-2.9,24.15,2.7,1,0.583,3
73.83,0.343,1.1,20.65,2.9,1,0.5,3
76.77,0.409,-1.1,21.85,3.1,1,0.417,3
77.06,0.455,-2.4,22.9,3.0,1,0.333,3
75.99,0.493,-3.3,23.45,2.9,1,0.25,3
70.48,0.53,-4.2,23.9,2.8,1,0.167,3
64.69,0.567,-5.8,24.6,2.7,1,0.083,3
53.18,0.623,-4.6,22.6,2.6,2,1.0,8
27.76,0.68,5.0,10.9,3.3,2,0.944,8
24.0,0.651,6.8,9.4,3.8,2,0.917,8
20.94,0.623,6.5,9.55,4.2,2,0.889,8
20.62,0.586,5.8,10.4,4.3,2,0.861,8
19.31,0.502,5.1,12.05,4.4,2,0.833,8
18.91,0.409,4.8,13.5,4.5,2,0.806,8
17.04,0.362,4.1,14.95,4.5,2,0.778,8
15.6,0.296,4.1,16.15,4.5,2,0.75,8
14.28,0.259,3.5,16.85,4.5,2,0.722,7
13.53,0.226,2.5,15.95,4.5,2,0.694,7
17.33,0.203,3.6,14.3,4.5,2,0.667,7
22.0,0.194,5.7,13.15,4.4,2,0.639,7
27.28,0.194,7.6,12.8,4.2,2,0.611,7
34.55,0.194,11.0,15.3,3.9,2,0.583,7
35.39,0.203,11.5,17.75,3.7,2,0.556,7
35.46,0.212,10.4,18.5,3.6,2,0.528,7
37.16,0.231,8.9,17.65,3.5,2,0.5,7
42.1,0.259,6.4,14.5,3.5,2,0.472,7
59.72,0.296,7.3,13.45,3.6,2,0.444,7
83.87,0.352,7.3,12.55,3.8,2,0.417,7
61.49,0.362,6.0,11.4,4.1,2,0.389,7
29.36,0.38,6.3,10.55,4.2,2,0.361,7
32.62,0.399,5.8,9.8,4.4,2,0.333,7
33.41,0.418,5.7,9.75,4.5,2,0.306,7
37.19,0.436,4.2,10.8,4.6,2,0.278,7
39.56,0.452,4.2,12.3,4.7,2,0.25,7
44.16,0.494,2.6,13.3,4.7,2,0.222,7
56.62,0.531,0.5,13.85,4.7,2,0.194,7
68.42,0.567,-0.4,13.2,4.5,2,0.167,6
87.91,0.586,0.4,10.5,4.4,2,0.139,6
90.81,0.633,1.9,7.55,4.5,2,0.111,6
88.5,0.651,2.0,5.6,4.7,2,0.083,6
92.21,0.661,1.8,4.3,4.8,2,0.056,6
89.56,0.661,2.0,4.2,4.7,2,0.028,6
78.51,0.642,1.5,5.05,4.5,2,0.01,6
78.51,0.642,1.5,5.05,4.5,1,1.0,3
80.19,0.614,1.2,9.4,4.2,1,0.982,3
85.11,0.567,0.2,13.0,3.9,1,0.965,3
86.97,0.549,0.7,16.65,3.4,1,0.947,3
84.85,0.549,2.9,18.35,3.2,1,0.93,3
80.37,0.549,5.2,19.5,3.1,1,0.912,3
74.4,0.558,8.4,20.7,3.0,1,0.895,3
74.77,0.558,9.2,20.3,3.0,1,0.877,3
75.13,0.549,8.6,18.9,3.1,1,0.86,3
74.23,0.549,8.9,17.95,3.2,1,0.842,3
73.64,0.539,10.0,16.7,3.2,1,0.825,3
74.34,0.533,10.0,16.9,3.3,1,0.807,3
74.26,0.53,8.9,17.65,3.3,1,0.789,3
73.78,0.53,6.7,18.75,3.2,1,0.772,3
73.38,0.53,5.7,18.45,3.2,1,0.754,3
72.69,0.53,5.0,18.1,3.1,1,0.737,3
73.82,0.521,5.8,16.3,3.1,1,0.719,3
77.1,0.493,7.6,15.5,3.2,1,0.702,3
78.49,0.483,13.0,13.3,3.2,1,0.684,3
78.59,0.465,14.3,14.25,3.3,1,0.667,3
78.57,0.455,13.4,14.5,3.3,1,0.649,3
76.44,0.436,13.1,14.45,3.4,1,0.632,3
74.66,0.427,10.5,13.25,3.4,1,0.614,3
74.76,0.418,10.1,13.45,3.4,1,0.596,3
75.86,0.409,9.9,15.35,3.4,1,0.579,3
77.96,0.409,7.7,17.05,3.4,1,0.561,3
78.82,0.418,7.3,20.75,3.3,1,0.544,3
79.34,0.446,4.9,22.25,3.2,1,0.526,2
79.17,0.455,2.8,23.2,3.1,1,0.509,2
76.21,0.483,1.3,22.65,3.0,1,0.491,2
73.41,0.511,4.1,18.85,3.0,1,0.474,2
70.99,0.53,9.7,15.35,3.1,1,0.456,2
72.14,0.549,13.9,13.05,3.4,1,0.439,2
70.4,0.614,12.3,13.25,3.6,1,0.386,2
67.2,0.633,11.9,13.05,3.7,1,0.368,2
67.15,0.642,11.7,12.65,3.7,1,0.351,2
66.51,0.651,11.3,12.25,3.7,1,0.333,2
66.45,0.651,10.8,11.9,3.7,1,0.316,2
67.8,0.651,10.5,11.85,3.7,1,0.298,2
69.34,0.651,10.1,12.05,3.7,1,0.281,3
72.24,0.633,10.1,12.25,3.7,1,0.263,3
75.96,0.614,8.8,14.7,3.7,1,0.246,3
79.36,0.586,7.7,18.45,3.7,1,0.228,3
81.47,0.567,0.4,24.1,3.5,1,0.211,3
78.28,0.549,1.9,23.15,3.3,1,0.193,3
75.1,0.53,3.0,20.4,3.0,1,0.175,3
75.6,0.511,5.7,18.55,2.9,1,0.158,3
77.08,0.521,9.5,16.25,3.1,1,0.14,3
78.66,0.521,9.8,15.9,3.3,1,0.123,3
79.17,0.521,9.5,15.55,3.3,1,0.105,3
79.34,0.53,8.1,15.35,3.1,1,0.088,3
80.0,0.538,1.6,19.0,2.7,1,0.07,3
79.37,0.562,-7.0,25.6,1.8,1,0.053,3
77.67,0.584,0.7,26.45,1.0,1,0.035,3
75.52,0.606,3.9,25.05,0.2,1,0.018,3
21.76,0.997,11.1,0.55,3.4,2,0.956,8
18.63,1.063,5.1,3.55,4.6,2,0.941,6
22.29,1.109,2.9,5.15,4.6,2,0.926,6
26.95,1.137,3.4,5.5,4.5,2,0.912,6
32.25,1.137,3.6,5.6,4.3,2,0.897,6
33.61,1.137,3.1,5.15,4.3,2,0.882,6
35.08,1.109,2.8,4.7,4.5,2,0.868,6
33.38,1.072,2.6,4.5,4.6,2,0.853,6
30.61,1.016,2.0,4.6,4.6,2,0.838,6
29.09,0.979,1.2,5.0,4.6,2,0.824,6
29.88,0.941,2.2,5.4,4.5,2,0.809,5
34.23,0.932,4.3,5.15,4.3,2,0.794,5
39.19,0.932,7.0,6.1,4.3,2,0.779,6
43.79,0.932,9.1,6.55,4.3,2,0.765,6
51.07,0.932,8.4,6.9,4.2,2,0.75,6
49.55,0.955,5.7,5.75,4.2,2,0.735,6
42.49,0.979,3.5,4.85,4.3,2,0.721,6
48.45,1.007,3.5,5.05,4.4,2,0.706,6
54.59,1.044,3.9,5.45,4.4,2,0.691,6
56.75,1.053,3.5,5.45,4.5,2,0.676,6
48.11,1.044,2.8,5.5,4.7,2,0.662,6
41.37,1.016,2.3,5.65,4.7,2,0.647,6
40.62,0.997,1.8,6.0,4.8,2,0.632,6
43.16,0.988,1.7,6.35,4.8,2,0.618,6
46.73,0.969,2.6,7.1,4.7,2,0.603,6
51.04,0.96,3.7,8.15,4.5,2,0.588,6
54.56,0.979,3.6,8.2,4.2,2,0.574,6
53.58,1.007,3.4,7.8,3.9,2,0.559,6
50.0,1.081,2.5,6.75,3.8,2,0.544,6
46.51,1.1,0.7,5.35,3.8,2,0.529,6
41.43,1.109,0.6,5.3,3.9,2,0.515,6
40.19,1.081,0.6,5.4,3.9,2,0.5,6
42.42,1.025,1.0,5.6,3.8,2,0.485,6
61.67,1.025,3.7,7.05,3.9,2,0.471,6
87.35,1.054,4.9,7.65,3.9,2,0.456,6
105.98,1.072,6.3,8.35,4.0,2,0.441,6
130.0,1.063,6.4,8.3,4.3,2,0.426,4
165.0,1.044,0.8,5.2,4.4,2,0.412,4
120.0,1.007,1.1,4.95,4.5,2,0.397,4
105.14,0.988,1.7,4.95,4.6,2,0.382,6
100.12,0.96,3.0,5.3,4.6,2,0.368,6
123.09,0.913,5.1,6.65,4.6,2,0.353,6
165.0,0.876,5.9,8.45,4.4,2,0.338,4
172.0,0.857,9.0,10.8,4.4,2,0.324,4
145.0,0.857,8.8,11.3,4.3,2,0.309,4
105.0,0.988,7.7,11.85,4.3,2,0.294,6
85.77,0.997,8.5,11.15,4.3,2,0.279,6
58.49,0.988,1.2,5.6,4.5,2,0.265,6
47.01,0.969,2.0,4.1,4.7,2,0.25,6
44.86,0.913,2.1,3.95,4.8,1,0.235,3
45.57,0.727,-1.4,5.8,4.7,1,0.221,3
48.45,0.642,-5.6,9.0,4.5,1,0.206,3
55.62,0.605,-15.4,18.1,3.9,1,0.191,3
68.54,0.465,-11.8,22.5,3.4,1,0.176,3
77.15,0.418,-8.0,25.0,2.7,1,0.162,3
81.46,0.423,-2.4,24.4,2.5,1,0.147,3
80.74,0.436,1.8,24.7,2.4,1,0.132,3
83.61,0.567,12.2,29.4,2.4,1,0.118,3
84.33,0.642,11.0,28.5,2.4,1,0.103,3
79.48,0.689,7.7,26.15,2.5,2,0.074,8
62.88,0.689,12.6,23.7,2.7,2,0.059,8
41.04,0.633,13.7,10.65,3.2,2,0.044,8
33.99,0.567,3.2,3.9,3.8,2,0.029,8
30.81,0.493,3.0,4.2,4.9,2,0.015,8
118.439,0.674493717,6.3,9.95,3.631,1,1.0,2
92.55,0.645225712,9.9,13.05,3.45,1,0.987,2
102.168,0.630020851,12.0,14.5,3.364,1,0.974,2
88.898,0.60031933,15.1,16.05,3.187,1,0.961,2
85.493,0.57863921,13.6,15.9,3.099,1,0.947,2
82.802,0.569958818,13.0,14.9,3.069,1,0.934,2
84.257,0.576456532,12.7,14.35,3.077,1,0.921,2
85.349,0.592731766,12.8,14.7,3.101,1,0.908,2
84.317,0.610660163,13.5,15.15,3.078,1,0.895,2
83.495,0.623766,13.4,15.1,3.062,1,0.882,2
83.696,0.630427875,12.7,14.75,3.074,1,0.868,2
82.766,0.631342286,12.6,14.4,3.114,1,0.855,2
85.311,0.629817196,12.3,13.95,3.133,1,0.842,2
87.297,0.627365857,12.1,13.65,3.136,1,0.829,2
85.494,0.622317661,11.6,13.3,3.173,1,0.816,2
82.907,0.613841822,11.3,13.05,3.179,1,0.803,2
84.398,0.602819342,10.3,12.75,3.121,1,0.789,2
81.723,0.592176757,9.2,12.6,3.077,1,0.776,2
83.501,0.583538819,8.0,12.3,3.058,1,0.763,2
88.667,0.575072326,7.6,12.3,3.067,1,0.75,2
93.129,0.562887381,8.0,12.8,3.105,1,0.737,2
90.255,0.542202782,8.8,13.4,3.127,1,0.724,2
87.152,0.510276844,9.6,13.8,3.154,1,0.711,2
76.105,0.469085299,9.5,13.55,3.211,1,0.697,1
68.911,0.419460073,9.0,12.9,3.281,1,0.684,1
60.968,0.366982976,9.1,12.25,3.251,1,0.671,1
58.121,0.314709693,9.6,11.8,3.167,1,0.658,1
58.57,0.260548373,9.2,12.3,3.159,1,0.645,1
57.287,0.211921084,8.4,13.0,3.119,1,0.632,1
60.771,0.172310969,7.5,14.25,3.022,1,0.618,1
64.147,0.1430148,6.7,15.75,2.928,1,0.605,1
61.211,0.123524981,5.5,16.95,2.892,1,0.592,1
63.105,0.111262514,4.2,17.8,2.892,1,0.579,1
54.482,0.099335278,3.6,17.2,2.895,1,0.553,1
57.7,0.095866453,4.4,16.6,2.886,1,0.539,1
62.74,0.091666958,5.0,16.7,2.881,1,0.526,1
61.915,0.084218687,4.9,17.35,2.838,1,0.513,1
60.425,0.071882007,4.4,18.6,2.754,1,0.5,1
58.017,0.055760465,3.8,19.6,2.686,1,0.487,1
55.815,0.03702788,4.0,20.1,2.617,1,0.474,1
58.413,-0.004364805,2.3,20.25,2.574,1,0.434,1
60.306,-0.011441043,2.2,19.9,2.571,1,0.421,1
60.198,-0.015922966,2.3,19.95,2.556,1,0.408,1
56.657,-0.019088062,2.8,20.1,2.552,1,0.395,1
59.459,-0.022733788,2.9,20.25,2.514,1,0.382,1
59.586,-0.025949097,3.1,20.45,2.508,1,0.368,1
58.077,-0.025949097,3.3,20.65,2.516,1,0.355,1
59.244,-0.019088062,3.4,20.5,2.581,1,0.342,1
60.552,-0.002613616,3.3,20.45,2.589,1,0.329,1
63.458,0.02201574,3.6,20.2,2.629,1,0.316,2
66.977,0.055378331,4.2,20.1,2.694,1,0.303,2
74.958,0.095518042,4.3,19.55,2.702,1,0.289,2
80.42,0.13893394,3.8,18.3,2.694,1,0.276,2
86.667,0.181843588,4.9,17.05,2.726,1,0.263,2
92.343,0.222196046,6.0,16.7,2.769,1,0.25,1
79.336,0.283074975,7.4,17.9,2.844,1,0.224,1
70.243,0.292034436,7.0,17.2,2.892,1,0.211,1
63.513,0.287353773,7.1,15.75,2.882,1,0.197,1
65.541,0.273464273,6.3,15.35,2.892,1,0.184,1
66.595,0.259593879,5.6,15.4,2.912,1,0.171,1
71.108,0.249931757,5.2,15.9,2.835,1,0.158,1
75.609,0.247482261,5.1,16.25,2.781,1,0.145,2
81.872,0.255272505,5.1,16.15,2.777,1,0.132,2
90.061,0.273464273,6.4,16.2,2.817,1,0.118,3
95.985,0.300812794,6.0,18.3,2.74,1,0.105,2
97.149,0.33405144,2.8,23.5,2.635,1,0.092,2
95.986,0.370698093,5.0,25.9,2.662,1,0.079,2
88.553,0.407560849,3.4,24.8,2.735,1,0.066,2
86.023,0.471291711,7.0,15.6,2.956,1,0.039,2
88.06,0.503245771,9.7,13.25,3.158,1,0.026,2
85.898,0.540454614,5.1,16.05,3.099,1,0.013,8
79.427,0.581038949,2.3,19.75,3.154,2,1.0,8
64.6,0.620552445,2.9,20.95,3.277,2,0.977,8
58.806,0.655138435,1.0,18.8,3.564,2,0.955,8
49.85,0.688330818,0.8,13.3,3.996,2,0.932,8
49.848,0.719911064,1.6,10.2,4.547,2,0.909,8
60.414,0.751894688,2.9,8.75,4.857,2,0.886,8
73.647,0.787956123,2.4,9.1,4.925,2,0.864,8
87.878,0.824646415,2.3,9.25,4.86,2,0.841,4
92.819,0.855761372,3.5,8.75,4.534,2,0.818,4
94.398,0.87875152,5.1,8.65,4.305,2,0.795,4
95.024,0.891983231,8.7,8.85,4.131,2,0.773,4
86.084,0.892428547,11.6,8.8,3.967,2,0.75,4
89.32,0.885021795,11.8,8.7,3.839,2,0.727,4
95.088,0.877025616,10.7,8.85,3.898,2,0.705,6
102.887,0.875813389,10.5,8.75,3.973,2,0.682,6
96.204,0.884398826,8.0,10.0,3.683,2,0.659,4
84.082,0.904553263,-0.4,13.8,3.45,2,0.636,6
72.325,0.924434364,-0.9,14.85,3.427,2,0.614,6
53.939,0.940516485,-3.0,13.9,3.358,2,0.591,8
44.042,0.960851154,-4.4,10.6,3.343,2,0.568,8
47.244,0.99237676,-2.7,7.55,3.528,2,0.545,8
54.919,1.033463966,-1.1,6.75,3.841,2,0.523,6
66.397,1.081995025,-0.6,6.5,3.985,2,0.5,6
77.704,1.120705516,-0.3,6.55,4.171,2,0.477,6
84.144,1.14245204,0.8,6.3,4.313,2,0.455,6
82.835,1.147026715,2.1,6.05,4.365,2,0.432,6
